UUID,Figure,Organ,Sample ID,Condition,Brain Region,Brain Hemisphere,Width (px),Height (px),Depth (px),XY Pixel Size (µm),Z Pixel Size (µm),File Path,File Name,File Size,Thumbnail
b5e6281b-9b72-4e33-8017-5f01eece1c4e,Figure 3,Brain,610,Obese,Midbrain,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/b5e6281b-9b72-4e33-8017-5f01eece1c4e.ome.zarr,b5e6281b-9b72-4e33-8017-5f01eece1c4e.ome.zarr,39472927,https://lsfm.isas.de/files/vessel-express/thumbnails/b5e6281b-9b72-4e33-8017-5f01eece1c4e.jpg
177ea916-cd5a-4219-8432-961023f3ae94,Figure 3,Brain,610,Obese,Hippocampus,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/177ea916-cd5a-4219-8432-961023f3ae94.ome.zarr,177ea916-cd5a-4219-8432-961023f3ae94.ome.zarr,43599574,https://lsfm.isas.de/files/vessel-express/thumbnails/177ea916-cd5a-4219-8432-961023f3ae94.jpg
85f0bde3-1ea0-4abe-9bbc-16bbf571a4ef,Figure 3,Brain,610,Obese,Striatum,R,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/85f0bde3-1ea0-4abe-9bbc-16bbf571a4ef.ome.zarr,85f0bde3-1ea0-4abe-9bbc-16bbf571a4ef.ome.zarr,191589129,https://lsfm.isas.de/files/vessel-express/thumbnails/85f0bde3-1ea0-4abe-9bbc-16bbf571a4ef.jpg
2b739c94-560e-4695-a89f-ba79c00e1b07,Figure 4,Bladder,1,,,,300,300,100,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/2b739c94-560e-4695-a89f-ba79c00e1b07.ome.zarr,2b739c94-560e-4695-a89f-ba79c00e1b07.ome.zarr,11745565,https://lsfm.isas.de/files/vessel-express/thumbnails/2b739c94-560e-4695-a89f-ba79c00e1b07.jpg
4ea9d12a-42a2-4ec5-ad1e-87043e3a939a,Figure 4,Bladder,2,,,,300,300,101,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/4ea9d12a-42a2-4ec5-ad1e-87043e3a939a.ome.zarr,4ea9d12a-42a2-4ec5-ad1e-87043e3a939a.ome.zarr,12319573,https://lsfm.isas.de/files/vessel-express/thumbnails/4ea9d12a-42a2-4ec5-ad1e-87043e3a939a.jpg
d77c7cc0-1acd-466f-b04f-39512abd732e,Figure 4,Bladder,3,,,,300,300,101,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/d77c7cc0-1acd-466f-b04f-39512abd732e.ome.zarr,d77c7cc0-1acd-466f-b04f-39512abd732e.ome.zarr,11382172,https://lsfm.isas.de/files/vessel-express/thumbnails/d77c7cc0-1acd-466f-b04f-39512abd732e.jpg
472da477-7f77-4b97-8a89-b81d34964588,Figure 4,Bladder,4,,,,300,300,100,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/472da477-7f77-4b97-8a89-b81d34964588.ome.zarr,472da477-7f77-4b97-8a89-b81d34964588.ome.zarr,12500304,https://lsfm.isas.de/files/vessel-express/thumbnails/472da477-7f77-4b97-8a89-b81d34964588.jpg
0241512c-c96e-4620-a92e-29a06e56d352,Figure 4,Bladder,5,,,,300,300,101,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/0241512c-c96e-4620-a92e-29a06e56d352.ome.zarr,0241512c-c96e-4620-a92e-29a06e56d352.ome.zarr,14423153,https://lsfm.isas.de/files/vessel-express/thumbnails/0241512c-c96e-4620-a92e-29a06e56d352.jpg
0b324711-0d9f-4d7b-a332-54682009a0ad,Figure 4,Bladder,6,,,,300,300,101,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/0b324711-0d9f-4d7b-a332-54682009a0ad.ome.zarr,0b324711-0d9f-4d7b-a332-54682009a0ad.ome.zarr,13540276,https://lsfm.isas.de/files/vessel-express/thumbnails/0b324711-0d9f-4d7b-a332-54682009a0ad.jpg
9fa0e8da-89e8-452e-a655-6aa527a81663,Figure 4,Bladder,7,,,,300,300,100,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/9fa0e8da-89e8-452e-a655-6aa527a81663.ome.zarr,9fa0e8da-89e8-452e-a655-6aa527a81663.ome.zarr,11634669,https://lsfm.isas.de/files/vessel-express/thumbnails/9fa0e8da-89e8-452e-a655-6aa527a81663.jpg
